Broker,Cenario,Mensagens,TamanhoBytes,Producers,Consumers,TaxaMsgSeg,TempoSegundos,ThroughputMsgSeg,LatenciaMediaMs,LatenciaMinMs,LatenciaMaxMs,LatenciaP95Ms,CpuMediaPct,CpuMaxPct,MemoriaMediaMB,MemoriaMaxMB
RabbitMQ,1,50000,1000,1,1,0,139.4022,358.67,12.00,2.27,3454.27,12.98,3.68,28.85,47.91,54.22
RabbitMQ,2,50000,100,1,1,0,112.7109,443.61,25.48,2.16,3164.11,12.18,4.02,16.68,51.79,53.36
RabbitMQ,3,25000,10000,1,1,0,73.8233,338.65,19.18,2.58,3006.63,13.09,4.70,18.52,54.07,59.62
RabbitMQ,4,5000,100000,1,1,0,104.4178,47.88,35.21,4.67,3070.00,51.10,2.24,11.87,62.91,70.86
RabbitMQ,5,10000,1000,1,1,0,22.0031,454.48,134.43,2.19,3217.09,1290.50,3.93,16.71,63.42,65.80
RabbitMQ,6,150000,1000,1,1,0,313.6034,478.31,14.77,2.16,3007.46,12.03,4.05,16.58,61.33,66.36
RabbitMQ,7,100000,1000,1,4,0,210.0693,476.03,16.10,2.01,3083.64,12.06,3.48,16.30,63.08,69.57
RabbitMQ,8,100000,1000,4,1,0,57.1014,1751.27,48.37,2.12,3249.32,12.56,9.69,28.31,63.88,66.26
RabbitMQ,9,100000,1000,4,4,0,56.9928,1754.61,44.18,1.88,3036.97,12.48,10.10,25.04,65.99,69.54
RabbitMQ,10,30000,1000,1,1,2000,63.5325,472.20,45.37,2.16,3043.55,12.25,3.41,21.06,67.37,71.61
RabbitMQ,11,40000,1000,1,1,8000,85.1412,469.81,30.15,2.15,3018.87,12.16,3.64,13.70,66.73,70.80
