Broker,Cenario,Mensagens,TamanhoBytes,Producers,Consumers,TaxaMsgSeg,TempoSegundos,ThroughputMsgSeg,LatenciaMediaMs,LatenciaMinMs,LatenciaMaxMs,LatenciaP95Ms,CpuMediaPct,CpuMaxPct,MemoriaMediaMB,MemoriaMaxMB
RabbitMQ,1,50000,1000,1,1,0,39.6098,1262.31,0.93,0.44,153.08,1.57,12.05,39.26,42.45,44.34
RabbitMQ,2,50000,100,1,1,0,34.1672,1463.39,0.92,0.48,96.44,1.13,12.25,28.26,43.45,46.09
RabbitMQ,3,25000,10000,1,1,0,22.5133,1110.45,1.14,0.54,78.14,1.97,11.22,24.07,44.25,47.37
RabbitMQ,4,5000,100000,1,1,0,22.3005,224.21,5.17,1.35,74.02,43.79,7.27,26.99,50.35,55.49
RabbitMQ,5,10000,1000,1,1,0,8.3225,1201.56,0.95,0.53,43.97,2.01,9.96,21.35,49.63,49.78
RabbitMQ,6,150000,1000,1,1,0,104.4445,1436.17,0.80,0.45,70.76,1.29,10.78,24.84,49.40,51.51
RabbitMQ,7,100000,1000,1,4,0,63.4006,1577.27,0.74,0.43,65.40,1.00,11.62,27.91,56.85,58.60
RabbitMQ,8,100000,1000,4,1,0,30.3127,3298.95,1.42,0.41,45.02,2.63,19.80,40.35,62.25,63.87
RabbitMQ,9,100000,1000,4,4,0,30.4051,3288.93,1.34,0.44,60.63,2.20,23.07,39.31,51.11,54.36
RabbitMQ,10,30000,1000,1,1,2000,21.3573,1404.67,0.83,0.49,40.51,1.34,11.91,23.26,52.40,53.37
RabbitMQ,11,40000,1000,1,1,8000,24.4029,1639.15,0.66,0.50,43.77,0.85,10.79,24.28,50.88,52.34
